type,name,ID,LON,LAT
AWS,중문,328,33.2968005,126.3680177
AWS,아라,329,33.4293296,126.5198852
AWS,회수,330,33.2690775,126.3708116
AWS,강정,685,33.2423316,126.4425542
AWS,추자도,724,34.0032408,126.2742924
AWS,우도,725,33.5068653,126.9466716
AWS,마라도,726,33.1448181,126.2380443
AWS,유수암,727,33.4116031,126.3783719
AWS,선흘,751,33.4827528,126.6733749
AWS,서광,752,33.2999612,126.2972141
AWS,어리목,753,33.4235812,126.4465284
AWS,한림,779,33.4122827,126.2461365
AWS,남원,780,33.2806508,126.6932097
AWS,구좌,781,33.5262188,126.8764465
AWS,성악판,782,33.4180104,126.5955678
AWS,표선면,792,33.3514501,126.8092838
AWS,모슬포,793,33.2137313,126.2268137
AWS,가파도,855,33.1448181,126.2380443
AWS,진달래밭,870,33.307162,126.5319202
AWS,윗세오름,871,33.4139395,126.4339746
AWS,기상(과),884,33.2978322,126.4829163
AWS,태풍센터,885,33.3313048,126.678546
ASOS,제주,184,33.5169,126.5295
ASOS,고산,185,33.2955,126.1632
ASOS,성산,188,33.3868884,126.871726
ASOS,서귀포,189,33.2461,126.5653
